Maker,Model,Release_year,Max_resolution,Low_resolution,Effective_megapixels,Zoom_wide(mm),Zoom_tele(mm),Normal_focus_range(mm),Macro_focus_range(mm),Storage_included(GB),Weight(g),Dimensions(mm),Price(dollars)
Canon,Canon PowerShot A450,1/1/2007,2592.00,2048.00,5.00,38.00,122.00,47.00,1.00,16.00,215.00,106.00,139.00
Canon,Canon PowerShot A460,1/1/2007,2592.00,2048.00,5.00,38.00,152.00,47.00,1.00,16.00,215.00,106.00,139.00
Canon,Canon PowerShot A550,1/1/2007,3072.00,2592.00,7.00,35.00,140.00,45.00,5.00,16.00,210.00,91.00,149.00
Canon,Canon PowerShot A560,1/1/2007,3072.00,2592.00,7.00,35.00,140.00,45.00,5.00,16.00,205.00,91.00,149.00
Canon,Canon PowerShot A570 IS,1/1/2007,3072.00,2592.00,7.00,35.00,140.00,45.00,5.00,16.00,215.00,90.00,149.00
Canon,Canon PowerShot A650 IS,1/1/2007,4000.00,3264.00,12.00,35.00,210.00,0.00,1.00,32.00,300.00,97.00,399.00
Canon,Canon PowerShot A720 IS,1/1/2007,3264.00,2592.00,8.00,35.00,210.00,55.00,1.00,16.00,250.00,97.00,399.00
Canon,Canon EOS-1D Mark III,1/1/2007,3888.00,3456.00,10.00,0.00,0.00,0.00,0.00,0.00,1335.00,156.00,4499.00
Canon,Canon EOS-1Ds Mark III,1/1/2007,5616.00,4992.00,21.00,0.00,0.00,0.00,0.00,0.00,1385.00,150.00,7999.00
Canon,Canon EOS 40D,1/1/2007,3888.00,2816.00,10.00,0.00,0.00,0.00,0.00,0.00,822.00,146.00,1299.00
Canon,Canon PowerShot G9,1/1/2007,4000.00,3264.00,12.00,35.00,210.00,50.00,1.00,32.00,370.00,106.00,499.00
Canon,Canon PowerShot S5 IS,1/1/2007,3264.00,2272.00,8.00,36.00,432.00,50.00,10.00,32.00,550.00,117.00,399.00
Canon,Canon PowerShot SD1000,1/1/2007,3072.00,2592.00,7.00,35.00,105.00,0.00,5.00,32.00,175.00,86.00,199.00
Canon,Canon PowerShot SD750,1/1/2007,3072.00,2592.00,7.00,35.00,105.00,0.00,5.00,32.00,170.00,92.00,384.00
Canon,Canon PowerShot SD850 IS,1/1/2007,3264.00,2272.00,8.00,35.00,140.00,45.00,2.00,32.00,195.00,90.00,384.00
Canon,Canon PowerShot SD870 IS,1/1/2007,3264.00,2592.00,8.00,28.00,105.00,45.00,2.00,32.00,165.00,93.00,384.00
Canon,Canon PowerShot SD950 IS,1/1/2007,4000.00,3264.00,12.00,36.00,133.00,50.00,5.00,32.00,205.00,96.00,384.00
Canon,Canon PowerShot SX100 IS,1/1/2007,3264.00,2592.00,8.00,36.00,360.00,50.00,1.00,32.00,316.00,109.00,299.00
Canon,Canon PowerShot TX1,1/1/2007,3072.00,2592.00,7.00,39.00,390.00,50.00,10.00,0.00,260.00,89.00,139.00
