Country,Year,GDP_per_capita,Population,Female_population,Male_population,Life_expectancy,GDP(inflation_adjusted),External_debt,Agriculture(percent_of_GDP),Industry(percent_of_GDP),Service(percent_of_GDP),Imports(percent_of_GDP),Exports(percent_of_GDP),Continent
Albania,1/1/1996,4326,3112597,1546609,1559287,73.9,3083504202,490915000,33.02560989,20.16527064,46.80911947,35.23078755,12.31651656,Europe
Albania,1/1/1998,4434,3079037,1540419,1535209,73.8,3120648082,626487000,32.60271937,16.02778772,51.36949291,34.37350669,10.76140285,Europe
Albania,1/1/2000,5305,3071856,1542764,1524792,74.2,3686649387,1060765000,29.13058321,19.00922719,51.8601896,37.48980373,19.13553544,Europe
Albania,1/1/2002,5913,3089778,1550949,1525333,74.5,4059111575,1117897000,26.31162202,18.51702319,55.17135479,46.71660142,20.41930729,Europe
Albania,1/1/2004,6672,3124861,1564196,1534481,74.4,4543619309,1547172000,23.49999893,21.19999903,55.30000203,43.30650154,21.5421184,Europe
Albania,1/1/2006,7476,3156607,1577761,1543990,74.5,5033194290,2342944000,22,20.29879931,57.70120069,49.1511396,25.09052628,Europe
Albania,1/1/2008,8644,3181397,1590857,1552434,74.9,5740574515,3188168000,20.30465525,19.08644218,60.60890257,56.11927665,29.51131757,Europe
Algeria,1/1/1996,9375,28786855,14251339,14508537,72.1,48889689496,33644517000,11.76669856,51.23046342,37.00283663,23.94469955,29.76044833,Africa
Algeria,1/1/1998,9646,29673694,14689212,14957174,72.9,51948279105,30680939000,12.53328136,46.14701934,41.31969804,22.51609655,22.57835401,Africa
Algeria,1/1/2000,9885,30533827,15114048,15392006,73.2,54790058957,25380564000,8.879883556,58.60671743,32.51340406,21.35423872,41.17535301,Africa
Algeria,1/1/2002,10634,31441848,15561640,15852474,73.6,58856686557,22832586000,10.00359807,53.08863919,36.90775802,25.39997126,35.07614983,Africa
Algeria,1/1/2004,11575,32396048,16030519,16335606,74.2,66189522629,22178468000,10.18849348,56.35439116,33.45711882,25.65212315,40.07188497,Africa
Algeria,1/1/2006,12088,33391954,16516584,16834894,74.8,70956491567,5720795000,7.988788539,62.29710371,29.71410775,21.51668233,48.60784774,Africa
Algeria,1/1/2008,12314,34428028,17021521,17351905,75.3,74839230786,5475649000,6.920099503,62.11857814,30.96132236,22.9086299,46.27365752,Africa
