station,state,latitude,longitude,elevation,month,minimum temperature (F),maximum temperature (F),average temperature (F),average daily wind speed (miles per hour),direction of fastest 5 second wind (degrees),fastest 5 second wind speed (miles per hour),snowfall (inch),snow depth (inch),precipitation (inch)
DENVER INTL AP,CO,39.8328,-104.6575,1650.2,January,-1.84,5.18,3.56,4.921268,360,10.961006,2.5984266,3.93701,0.24015761
PADUCAH,KY,37.0683,-88.7719,119.5,January,14.18,21.2,18.32,9.618842,360,19.908766,0,0,0
PADUCAH,KY,37.0683,-88.7719,119.5,August,64.94,84.92,73.94,6.039738,360,21.922012,0,0,0
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,January,30.2,44.96,40.82,11.408394,360,29.974996,0,0,0.35039389
CROSSVILLE MEM AP,TN,35.9508,-85.0814,569.1,January,8.24,19.22,13.64,8.724066,360,23.935258,0,0,0
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,January,30.2,42.08,35.06,6.487126,360,19.908766,0,0,0
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,January,14.18,28.22,21.02,11.1847,360,27.066974,0,0,0
GREER,SC,34.8831,-82.2203,286.5,January,39.02,55.04,51.62,8.500372,360,31.093466,0,0,0
CLARKSVILLE OUTLAW AP,TN,36.6239,-87.4194,170.7,January,20.12,29.12,26.42,9.171454,360,18.119214,0,0,0
LONGVIEW E TX RGNL AP,TX,32.3847,-94.7117,111.3,January,33.08,42.98,42.26,6.487126,360,19.908766,0,0,0
COLLEGE STN,TX,30.5892,-96.3647,93,January,37.04,64.04,47.12,9.618842,360,31.093466,0,0,0
COLLEGE STN,TX,30.5892,-96.3647,93,January,17.24,42.08,26.78,9.395148,360,27.066974,0,0,0
COLLEGE STN,TX,30.5892,-96.3647,93,August,75.92,93.02,82.04,5.816044,360,16.105968,0,0,0
DALLAS FT WORTH AP,TX,32.8978,-97.0189,170.7,January,32,39.92,36.68,8.500372,360,23.040482,0,0,0
WICHITA,KS,37.6544,-97.4425,406.9,January,20.12,39.92,34.88,19.685072,360,40.936002,0,0,0
LAKE CHARLES,LA,30.125,-93.2158,4,January,30.2,44.96,41.36,17.000744,360,38.02798,0,0,0.24015761
LAKE CHARLES,LA,30.125,-93.2158,4,January,23.18,41,31.28,12.974252,360,36.90951,0,0,0
JACKSON INTL AP,MS,32.3206,-90.0778,100.6,January,33.98,57.02,50.72,9.171454,360,25.053728,0,0,0
JACKSON INTL AP,MS,32.3206,-90.0778,100.6,January,33.08,50,40.82,4.697574,360,21.922012,0,0,0.01181103
JACKSON INTL AP,MS,32.3206,-90.0778,100.6,January,17.24,33.08,24.44,12.079476,360,29.974996,0,0.9842525,0
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,January,20.12,25.16,23.54,13.645334,360,29.08022,9.6850446,1.181103,0.51968532
ORLANDO INTL AP,FL,28.4339,-81.325,27.4,January,35.96,55.04,44.42,15.882274,360,29.08022,0,0,0
TAMPA INTL AP,FL,27.9619,-82.5403,5.8,January,39.92,73.94,65.66,13.645334,360,29.08022,0,0,0.16929143
TAMPA INTL AP,FL,27.9619,-82.5403,5.8,August,78.98,93.02,85.28,5.144962,360,18.119214,0,0,0
VERO BEACH INTL AP,FL,27.6531,-80.2428,8.5,January,41,62.06,49.64,16.77705,360,35.119958,0,0,0
GALVESTON SCHOLES FLD,TX,29.2733,-94.8592,1.5,January,50,64.04,58.28,12.750558,360,34.001488,0,0,0
GALVESTON SCHOLES FLD,TX,29.2733,-94.8592,1.5,January,35.06,50,46.58,24.60634,360,40.936002,0,0,0.16929143
GALVESTON SCHOLES FLD,TX,29.2733,-94.8592,1.5,August,75.02,84.92,81.86,7.605596,360,25.948504,0,0,0.94881941
CORPUS CHRISTI,TX,27.7839,-97.5108,13.7,January,31.1,51.98,46.04,21.922012,360,38.02798,0,0,0
HOUSTON INTERCONT AP,TX,29.98,-95.36,29,January,26.24,44.06,40.46,16.329662,360,31.093466,0,0,0.27165369
NORFOLK INTL AP,VA,36.9033,-76.1922,9.1,August,71.96,77,75.02,9.842536,360,27.066974,0,0,0.94881941
ELIZABETH CITY CGAS,NC,36.2606,-76.175,4,January,33.08,44.06,41.18,12.30317,360,23.040482,0.1968505,0,0.16141741
HATTIESBURG CHAIN MUNI AP,MS,31.2819,-89.2531,46,January,20.12,42.98,29.12,3.802798,360,14.092722,0,0,0
MERIDIAN KEY FLD,MS,32.3347,-88.7442,89.6,January,35.06,57.02,52.88,9.618842,360,25.948504,0,0,0
MERIDIAN KEY FLD,MS,32.3347,-88.7442,89.6,January,32,53.96,42.26,4.697574,360,17.000744,0,0,0.0393701
MERIDIAN KEY FLD,MS,32.3347,-88.7442,89.6,January,27.14,39.92,37.4,13.869028,360,25.948504,0.787402,0,0.55905542
MERIDIAN KEY FLD,MS,32.3347,-88.7442,89.6,January,20.12,35.96,27.32,12.079476,360,27.96175,0,0,0
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,August,69.98,75.92,73.76,3.579104,360,17.000744,0,0,1.11811084
CHATTANOOGA LOVELL AP,TN,35.0311,-85.2014,204.5,January,24.26,35.06,32.9,11.855782,360,21.922012,0.3149608,0,0.01968505
CHATTANOOGA LOVELL AP,TN,35.0311,-85.2014,204.5,January,18.14,30.2,24.08,13.197946,360,27.96175,0,1.181103,0
COLUMBIA,SC,33.9486,-81.1186,70.4,January,29.12,39.92,37.22,8.94776,360,29.974996,0.1181103,0,0.44094512
JACKSONVILLE,FL,30.4844,-81.7019,10.1,January,26.24,46.94,36.32,8.500372,360,21.027236,0,0,0
KNOXVILLE MCGHEE TYSON AP,TN,35.8181,-83.9858,293.2,January,14.18,25.16,20.12,7.605596,360,23.040482,1.2992133,1.968505,0.1181103
MOBILE,AL,30.6794,-88.2397,63.4,January,32,53.06,46.4,14.763804,360,31.093466,0,0,0.85039416
NASHVILLE INTL AP,TN,36.1189,-86.6892,182.9,January,11.12,23.18,16.88,9.395148,360,21.922012,0,0,0
GREENVILLE ASOS,MS,33.4825,-90.9853,39,January,32,48.02,44.24,12.974252,360,29.974996,0,0,0
SHREVEPORT,LA,32.4506,-93.8411,83.2,January,19.22,39.02,26.96,5.59235,360,19.01399,0,0,0
ABILENE RGNL AP,TX,32.4106,-99.6822,545.6,January,14.18,25.16,20.84,12.750558,360,27.96175,0,0,0.01181103
ABILENE RGNL AP,TX,32.4106,-99.6822,545.6,August,71.96,87.08,77.18,7.605596,360,18.119214,0,0,0.01181103
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,January,25.16,41,33.26,6.71082,360,21.027236,0,0,0
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,January,22.1,35.06,33.44,10.737312,360,23.040482,0,0,0
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,August,69.98,87.08,78.62,6.934514,360,27.96175,0,0,2.66929278
OKLAHOMA CITY WILL ROGERS AP,OK,35.3889,-97.6006,391.7,January,15.26,26.24,24.26,17.000744,360,31.093466,0.1181103,0,0.01181103
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,January,7.16,23.18,17.06,5.59235,360,19.01399,0,0,0
PONCA CITY MUNI AP,OK,36.7367,-97.1019,304.8,August,64.94,95,78.8,3.579104,360,35.119958,0,0,0.09055123
GREENWOOD LEFLORE AP,MS,33.4964,-90.0867,40.5,January,51.08,66.92,60.8,7.605596,360,27.066974,0,0,0
GREENWOOD LEFLORE AP,MS,33.4964,-90.0867,40.5,January,30.2,50,46.76,8.052984,360,25.053728,0,0,0
CONCORDIA MUNI AP,KS,39.5514,-97.6508,447.8,January,7.16,19.22,13.64,8.276678,360,19.01399,0.5118113,0,0.03149608
DODGE CITY,KS,37.7608,-99.9683,789.4,January,11.12,31.1,26.96,16.77705,360,35.119958,0,0,0
ST LOUIS LAMBERT INTL AP,MO,38.7525,-90.3736,161.8,August,64.94,80.96,71.6,6.71082,360,21.027236,0,0,0
TOPEKA MUNI AP,KS,39.0725,-95.6261,267,August,53.06,78.98,68.18,2.908022,360,19.01399,0,0,0
TOPEKA MUNI AP,KS,39.0725,-95.6261,267,August,64.94,75.02,68.72,4.026492,360,14.092722,0,0,0
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,January,18.14,21.2,20.3,9.171454,360,16.105968,3.3070884,3.1102379,0.22834658
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,August,60.98,84.92,72.86,3.131716,360,12.974252,0,0,0
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,January,18.14,24.26,22.64,14.316416,360,36.014734,10.7086672,1.181103,0.5511814
CLEVELAND,OH,41.4131,-81.86,232.6,August,62.06,80.96,72.86,7.605596,360,19.01399,0,0,0
